0 c.name;1 c.surname;2 c.ak;3  c.birthdate;4 p.name;5 p.surname;6 p.ak;7 p.email;8 p.phone;9 p.address;10 a.surname;11 a.name;12 a.ak;13 a.phone;14 a.email;15 a.address
Jotvis;Rudkevičius;51603150244;2016-03-15;Laimius;Rudkevičius;38603150244;user28@user.lt;+37060000028;"Ilgiausia g. 28, Vilnius";Rudkevičė;Algimantė;49104120028;862000028;parent28@parent.lt;"Ilgiausia g. 28, Vilnius"
Mečislavas;Ščerbavičius;51603150211;2016-03-15;Iminas;Ščerbavičius;38603150211;user29@user.lt;+37060000029;"Ilgiausia g. 29, Vilnius";Ščerbavičė;Domnikija;49104120029;862000029;parent29@parent.lt;"Ilgiausia g. 29, Vilnius"
Celestė;Rolaitė;61604150363;2016-04-15;Gilvilė;Rolaitė;49404150363;user30@user.lt;+37060000030;"Ilgiausia g. 30, Vilnius";Rolaitis;Antanas;38903150030;862000030;parent30@parent.lt;"Ilgiausia g. 30, Vilnius"
Vylma;Rabcevičaitė;61604150315;2016-04-15;Ladislava;Rabcevičaitė;49404150315;user31@user.lt;+37060000031;"Ilgiausia g. 31, Vilnius";Rabcevičius;Pijus;38903150031;862000031;parent31@parent.lt;"Ilgiausia g. 31, Vilnius"
Armilė;Mielutytė;61604150304;2016-04-15;Levonida;Mielutytė;49404150304;user32@user.lt;+37060000032;"Ilgiausia g. 32, Vilnius";Mieliutis;Eigimantas;38903150032;862000032;parent32@parent.lt;"Ilgiausia g. 32, Vilnius"
Irtė;Večkytė;61604150337;2016-04-15;Nadžija;Večkytė;49404150337;user33@user.lt;+37060000033;"Ilgiausia g. 33, Vilnius";Večkus;Laurent;38903150033;862000033;parent33@parent.lt;"Ilgiausia g. 33, Vilnius"
Ilitija;Daminevskiūtė;61604150359;2016-04-15;Minte;Daminevskiūtė;49404150359;user34@user.lt;+37060000034;"Ilgiausia g. 34, Vilnius";Daminevskus;Einius;38903150034;862000034;parent34@parent.lt;"Ilgiausia g. 34, Vilnius"
Stefanija;Izėnaitė;61604150381;2016-04-15;Almanė;Izėnaitė;49404150381;user35@user.lt;+37060000035;"Ilgiausia g. 35, Vilnius";Izėnas;Genis;38903150035;862000035;parent35@parent.lt;"Ilgiausia g. 35, Vilnius"
Chonija;Tuntaitė;61604150348;2016-04-15;Saugė;Tuntaitė;49404150348;user36@user.lt;+37060000036;"Ilgiausia g. 36, Vilnius";Tuntas;Vygis;38903150036;862000036;parent36@parent.lt;"Ilgiausia g. 36, Vilnius"
Algimantė;Cesiulytė;61604150392;2016-04-15;Jolanta;Cesiulytė;49404150392;user37@user.lt;+37060000037;"Ilgiausia g. 37, Vilnius";Cesius;Rimbertas;38903150037;862000037;parent37@parent.lt;"Ilgiausia g. 37, Vilnius"
Domnikija;Zienkaitė;61604150370;2016-04-15;Samuela;Zienkaitė;49404150370;user38@user.lt;+37060000038;"Ilgiausia g. 38, Vilnius";Zienkus;Augminas;38903150038;862000038;parent38@parent.lt;"Ilgiausia g. 38, Vilnius"
Vingėla;Krevaldaitė;61604150326;2016-04-15;Milgintė;Krevaldaitė;49404150326;user39@user.lt;+37060000039;"Ilgiausia g. 39, Vilnius";Krevaldas;Emis;38903150039;862000039;parent39@parent.lt;"Ilgiausia g. 39, Vilnius"
Pijus;Drinauskis;51605150417;2016-05-15;Alfonsas;Drinauskis;38605150417;user40@user.lt;+37060000040;"Ilgiausia g. 40, Vilnius";Drinauskė;Angelija;49104120040;862000040;parent40@parent.lt;"Ilgiausia g. 40, Vilnius"
Eigimantas;Pržialgauskas;51605150483;2016-05-15;Vytalijus;Pržialgauskas;38605150483;user41@user.lt;+37060000041;"Ilgiausia g. 41, Vilnius";Pržialgauskė;Ida;49104120041;862000041;parent41@parent.lt;"Ilgiausia g. 41, Vilnius"
Laurent;Dygymas;51605150461;2016-05-15;Galminas;Dygymas;38605150461;user42@user.lt;+37060000042;"Ilgiausia g. 42, Vilnius";Dygymė;Chabronija;49104120042;862000042;parent42@parent.lt;"Ilgiausia g. 42, Vilnius"
Einius;Pūpelis;51605150494;2016-05-15;Lauris;Pūpelis;38605150494;user43@user.lt;+37060000043;"Ilgiausia g. 43, Vilnius";Pūpė;Ksavera;49104120043;862000043;parent43@parent.lt;"Ilgiausia g. 43, Vilnius"
Genis;Grodeikis;51605150472;2016-05-15;Radulfas;Grodeikis;38605150472;user44@user.lt;+37060000044;"Ilgiausia g. 44, Vilnius";Grodeikė;Ala;49104120044;862000044;parent44@parent.lt;"Ilgiausia g. 44, Vilnius"
Vygis;Svila;51605150450;2016-05-15;Trifonas;Svila;38605150450;user45@user.lt;+37060000045;"Ilgiausia g. 45, Vilnius";Svila;Birutėlė;49104120045;862000045;parent45@parent.lt;"Ilgiausia g. 45, Vilnius"
Rimbertas;Kveselevičius;51605150406;2016-05-15;Gedeiminas;Kveselevičius;38605150406;user46@user.lt;+37060000046;"Ilgiausia g. 46, Vilnius";Kveselevičė;Juozapė;49104120046;862000046;parent46@parent.lt;"Ilgiausia g. 46, Vilnius"
Augminas;Zykus;51605150443;2016-05-15;Geitvydas;Zykus;38605150443;user47@user.lt;+37060000047;"Ilgiausia g. 47, Vilnius";Zykė;Norgilė;49104120047;862000047;parent47@parent.lt;"Ilgiausia g. 47, Vilnius"
Emis;Navackas;51605150428;2016-05-15;Mečius;Navackas;38605150428;user48@user.lt;+37060000048;"Ilgiausia g. 48, Vilnius";Navackė;Virgailė;49104120048;862000048;parent48@parent.lt;"Ilgiausia g. 48, Vilnius"
Viktoras;Vapšys;51605150439;2016-05-15;Eivis;Vapšys;38605150439;user49@user.lt;+37060000049;"Ilgiausia g. 49, Vilnius";Vapšė;Alvida;49104120049;862000049;parent49@parent.lt;"Ilgiausia g. 49, Vilnius"
Ida;Kerbėlytė;61606150587;2016-06-15;Zene;Kerbėlytė;49406150587;user50@user.lt;+37060000050;"Ilgiausia g. 50, Vilnius";Kerbėlys;Tomas;38903150050;862000050;parent50@parent.lt;"Ilgiausia g. 50, Vilnius"
Chabronija;Apčinskiūtė;61606150503;2016-06-15;Laisvida;Apčinskiūtė;49406150503;user51@user.lt;+37060000051;"Ilgiausia g. 51, Vilnius";Apčinskas;Vidymantas;38903150051;862000051;parent51@parent.lt;"Ilgiausia g. 51, Vilnius"
Ksavera;Kūlokytė;61606150598;2016-06-15;Janislava;Kūlokytė;49406150598;user52@user.lt;+37060000052;"Ilgiausia g. 52, Vilnius";Kūlokas;Karpis;38903150052;862000052;parent52@parent.lt;"Ilgiausia g. 52, Vilnius"
Ala;Skadiniūtė;61606150521;2016-06-15;Verdženija;Skadiniūtė;49406150521;user53@user.lt;+37060000053;"Ilgiausia g. 53, Vilnius";Skadinius;Gytautas;38903150053;862000053;parent53@parent.lt;"Ilgiausia g. 53, Vilnius"
Birutėlė;Četvergaitė;61606150576;2016-06-15;Bytautė;Četvergaitė;49406150576;user54@user.lt;+37060000054;"Ilgiausia g. 54, Vilnius";Četvergas;Pilėnas;38903150054;862000054;parent54@parent.lt;"Ilgiausia g. 54, Vilnius"
Juozapė;Liupševičytė;61606150554;2016-06-15;Tolminė;Liupševičytė;49406150554;user55@user.lt;+37060000055;"Ilgiausia g. 55, Vilnius";Liupševičius;Vaigydas;38903150055;862000055;parent55@parent.lt;"Ilgiausia g. 55, Vilnius"
Norgilė;Zalubaitė;61606150543;2016-06-15;Uljanija;Zalubaitė;49406150543;user56@user.lt;+37060000056;"Ilgiausia g. 56, Vilnius";Zalubas;Milgedas;38903150056;862000056;parent56@parent.lt;"Ilgiausia g. 56, Vilnius"
Virgailė;Kirklys-masiokiūtė;61606150532;2016-06-15;Oktavija;Kirklys-masiokiūtė;49406150532;user57@user.lt;+37060000057;"Ilgiausia g. 57, Vilnius";Masiokiūtė;Ignnatijus;38903150057;862000057;parent57@parent.lt;"Ilgiausia g. 57, Vilnius"
Alvida;Ledytė;61606150565;2016-06-15;Jurgė;Ledytė;49406150565;user58@user.lt;+37060000058;"Ilgiausia g. 58, Vilnius";Ledas;Lengvinas;38903150058;862000058;parent58@parent.lt;"Ilgiausia g. 58, Vilnius"
Erna;Norvaišiūtė;61606150510;2016-06-15;Rufina;Norvaišiūtė;49406150510;user59@user.lt;+37060000059;"Ilgiausia g. 59, Vilnius";Norvaišas;Getautas;38903150059;862000059;parent59@parent.lt;"Ilgiausia g. 59, Vilnius"
Vidymantas;Nanevičius;51907150654;2019-07-15;Rusnis;Nanevičius;38807150654;user60@user.lt;+37060000060;"Ilgiausia g. 60, Vilnius";Nanevičė;Aldona;49104120060;862000060;parent60@parent.lt;"Ilgiausia g. 60, Vilnius"
Karpis;Liakerauskas;51907150687;2019-07-15;Girmintas;Liakerauskas;38807150687;user61@user.lt;+37060000061;"Ilgiausia g. 61, Vilnius";Liakerauskė;Varonika;49104120061;862000061;parent61@parent.lt;"Ilgiausia g. 61, Vilnius"
Gytautas;Brilinkevičius;51907150665;2019-07-15;Gitavtas;Brilinkevičius;38807150665;user62@user.lt;+37060000062;"Ilgiausia g. 62, Vilnius";Brilinkevičė;Balanda;49104120062;862000062;parent62@parent.lt;"Ilgiausia g. 62, Vilnius"
Pilėnas;Bloziukas;51907150698;2019-07-15;Kornelis;Bloziukas;38807150698;user63@user.lt;+37060000063;"Ilgiausia g. 63, Vilnius";Bloziukė;Zigfrida;49104120063;862000063;parent63@parent.lt;"Ilgiausia g. 63, Vilnius"
Vaigydas;Lukševičius;51907150643;2019-07-15;Gaivis;Lukševičius;38807150643;user64@user.lt;+37060000064;"Ilgiausia g. 64, Vilnius";Lukševičė;Dija;49104120064;862000064;parent64@parent.lt;"Ilgiausia g. 64, Vilnius"
Milgedas;Spuris;51907150632;2019-07-15;Patrik;Spuris;38807150632;user65@user.lt;+37060000065;"Ilgiausia g. 65, Vilnius";Spurė;Vince;49104120065;862000065;parent65@parent.lt;"Ilgiausia g. 65, Vilnius"
Ignnatijus;Marusevičius;51907150621;2019-07-15;Polius;Marusevičius;38807150621;user66@user.lt;+37060000066;"Ilgiausia g. 66, Vilnius";Maruskevičė;Jautrė;49104120066;862000066;parent66@parent.lt;"Ilgiausia g. 66, Vilnius"
Lengvinas;Goreika;51907150602;2019-07-15;Jorigis;Goreika;38807150602;user67@user.lt;+37060000067;"Ilgiausia g. 67, Vilnius";Goreika;Terėsė;49104120067;862000067;parent67@parent.lt;"Ilgiausia g. 67, Vilnius"
Getautas;Spudys;51907150676;2019-07-15;Elbertas;Spudys;38807150676;user68@user.lt;+37060000068;"Ilgiausia g. 68, Vilnius";Spudė;Jurgita;49104120068;862000068;parent68@parent.lt;"Ilgiausia g. 68, Vilnius"
Voldis;Grizickas;51907150610;2019-07-15;Jonas;Grizickas;38807150610;user69@user.lt;+37060000069;"Ilgiausia g. 69, Vilnius";Grizikė;Gertruda;49104120069;862000069;parent69@parent.lt;"Ilgiausia g. 69, Vilnius"
Varonika;Zabalavičiūtė;61908150772;2019-08-15;Adolaida;Zabalavičiūtė;49808150772;user70@user.lt;+37060000070;"Ilgiausia g. 70, Vilnius";Zabalavičius;Jeronimas;49104120070;862000070;parent70@parent.lt;"Ilgiausia g. 70, Vilnius"
Balanda;Terekas-malinaskytė;61908150769;2019-08-15;Juvencija;Terekas-malinaskytė;49808150769;user71@user.lt;+37060000071;"Ilgiausia g. 71, Vilnius";Malinaskytė;Adelija;49104120071;862000071;parent71@parent.lt;"Ilgiausia g. 71, Vilnius"
Zigfrida;Maziliauskaitė;61908150758;2019-08-15;Sanga;Maziliauskaitė;49808150758;user72@user.lt;+37060000072;"Ilgiausia g. 72, Vilnius";Mazilauskas;Galius;38903150072;862000072;parent72@parent.lt;"Ilgiausia g. 72, Vilnius"
Dija;Ušauskaitė;61908150747;2019-08-15;Gracija;Ušauskaitė;49808150747;user73@user.lt;+37060000073;"Ilgiausia g. 73, Vilnius";Ušauskas;Arymantas;38903150073;862000073;parent73@parent.lt;"Ilgiausia g. 73, Vilnius"
Vince;Palapaitė;61908150780;2019-08-15;Laimantė;Palapaitė;49808150780;user74@user.lt;+37060000074;"Ilgiausia g. 74, Vilnius";Palapas;Kantvilas;38903150074;862000074;parent74@parent.lt;"Ilgiausia g. 74, Vilnius"
Jautrė;Eiseniūtė;61908150714;2019-08-15;Penelopė;Eiseniūtė;49808150714;user75@user.lt;+37060000075;"Ilgiausia g. 75, Vilnius";Eisenas;Vinantas;38903150075;862000075;parent75@parent.lt;"Ilgiausia g. 75, Vilnius"
Terėsė;Žirliūtė;61908150791;2019-08-15;Eolelija;Žirliūtė;49808150791;user76@user.lt;+37060000076;"Ilgiausia g. 76, Vilnius";Žirilius;Platonas;38903150076;862000076;parent76@parent.lt;"Ilgiausia g. 76, Vilnius"
Jurgita;Sajinskiūtė;61908150725;2019-08-15;Deivydė;Sajinskiūtė;49808150725;user77@user.lt;+37060000077;"Ilgiausia g. 77, Vilnius";Sajinskas;Kipras;38903150077;862000077;parent77@parent.lt;"Ilgiausia g. 77, Vilnius"
Gertruda;Paškevičiūtė;61908150736;2019-08-15;Genija;Paškevičiūtė;49808150736;user78@user.lt;+37060000078;"Ilgiausia g. 78, Vilnius";Paškevičius;Marcelius;38903150078;862000078;parent78@parent.lt;"Ilgiausia g. 78, Vilnius"
Arvina;Zviravičaitė;61908150703;2019-08-15;Adelia;Zviravičaitė;49808150703;user79@user.lt;+37060000079;"Ilgiausia g. 79, Vilnius";Zviravičius;Laimius;38903150079;862000079;parent79@parent.lt;"Ilgiausia g. 79, Vilnius"
Rimantis;Taseckas;51909150860;2019-09-15;Mantvilas;Taseckas;38809150860;user80@user.lt;+37060000080;"Ilgiausia g. 80, Vilnius";Taseckė;Iminas;38903150080;862000080;parent80@parent.lt;"Ilgiausia g. 80, Vilnius"
Galius;Dėdynas;51909150852;2019-09-15;Naras;Dėdynas;38809150852;user81@user.lt;+37060000081;"Ilgiausia g. 81, Vilnius";Dėdynė;Gilvilė;49104120081;862000081;parent81@parent.lt;"Ilgiausia g. 81, Vilnius"
Arymantas;Kavoliukas;51909150893;2019-09-15;Alvis;Kavoliukas;38809150893;user82@user.lt;+37060000082;"Ilgiausia g. 82, Vilnius";Kavoliukė;Ladislava;49104120082;862000082;parent82@parent.lt;"Ilgiausia g. 82, Vilnius"
Kantvilas;Karlys;51909150849;2019-09-15;Alginas;Karlys;38809150849;user83@user.lt;+37060000083;"Ilgiausia g. 83, Vilnius";Karlė;Levonida;49104120083;862000083;parent83@parent.lt;"Ilgiausia g. 83, Vilnius"
Vinantas;Budzinskas;51909150816;2019-09-15;Vaidrimas;Budzinskas;38809150816;user84@user.lt;+37060000084;"Ilgiausia g. 84, Vilnius";Budzinskė;Nadžija;49104120084;862000084;parent84@parent.lt;"Ilgiausia g. 84, Vilnius"
Platonas;Vitkelis;51909150871;2019-09-15;Gaudvydas;Vitkelis;38809150871;user85@user.lt;+37060000085;"Ilgiausia g. 85, Vilnius";Vitkelė;Minte;49104120085;862000085;parent85@parent.lt;"Ilgiausia g. 85, Vilnius"
Kipras;Bildunkevičius;51909150838;2019-09-15;Joviltas;Bildunkevičius;38809150838;user86@user.lt;+37060000086;"Ilgiausia g. 86, Vilnius";Bildunkevičė;Almanė;49104120086;862000086;parent86@parent.lt;"Ilgiausia g. 86, Vilnius"
Marcelius;Karlonis;51909150827;2019-09-15;Ildefons;Karlonis;38809150827;user87@user.lt;+37060000087;"Ilgiausia g. 87, Vilnius";Karlonė;Saugė;49104120087;862000087;parent87@parent.lt;"Ilgiausia g. 87, Vilnius"
Laimius;Smardakauskas;51909150882;2019-09-15;Jotvis;Smardakauskas;38809150882;user88@user.lt;+37060000088;"Ilgiausia g. 88, Vilnius";Smardakauskė;Jolanta;49104120088;862000088;parent88@parent.lt;"Ilgiausia g. 88, Vilnius"
Iminas;Šolkauskas;51909150805;2019-09-15;Mečislavas;Šolkauskas;38809150805;user89@user.lt;+37060000089;"Ilgiausia g. 89, Vilnius";Šolkauskė;Samuela;49104120089;862000089;parent89@parent.lt;"Ilgiausia g. 89, Vilnius"
Gilvilė;Zenteriūtė;61910150930;2019-10-15;Celestė;Zenteriūtė;49810150930;user90@user.lt;+37060000090;"Ilgiausia g. 90, Vilnius";Zenterius;Juozas;38903150090;862000090;parent90@parent.lt;"Ilgiausia g. 90, Vilnius"
Ladislava;Ruškytė;61910150995;2019-10-15;Vylma;Ruškytė;49810150995;user91@user.lt;+37060000091;"Ilgiausia g. 91, Vilnius";Ruška;Alfonsas;38903150091;862000091;parent91@parent.lt;"Ilgiausia g. 91, Vilnius"
Levonida;Pastalaitė;61910150984;2019-10-15;Armilė;Pastalaitė;49810150984;user92@user.lt;+37060000092;"Ilgiausia g. 92, Vilnius";Pastalas;Vytalijus;38903150092;862000092;parent92@parent.lt;"Ilgiausia g. 92, Vilnius"
Nadžija;Kiaulakiūtė;61910150951;2019-10-15;Irtė;Kiaulakiūtė;49810150951;user93@user.lt;+37060000093;"Ilgiausia g. 93, Vilnius";Kiaulakius;Galminas;38903150093;862000093;parent93@parent.lt;"Ilgiausia g. 93, Vilnius"
Minte;Gruševskiūtė;61910150940;2019-10-15;Ilitija;Gruševskiūtė;49810150940;user94@user.lt;+37060000094;"Ilgiausia g. 94, Vilnius";Gruševskis;Lauris;38903150094;862000094;parent94@parent.lt;"Ilgiausia g. 94, Vilnius"
Almanė;Miliuševičaitė;61910150929;2019-10-15;Stefanija;Miliuševičaitė;49810150929;user95@user.lt;+37060000095;"Ilgiausia g. 95, Vilnius";Miliuševičius;Radulfas;38903150095;862000095;parent95@parent.lt;"Ilgiausia g. 95, Vilnius"
Saugė;Andrešūniūtė;61910150962;2019-10-15;Chonija;Andrešūniūtė;49810150962;user96@user.lt;+37060000096;"Ilgiausia g. 96, Vilnius";Andrešius;Trifonas;38903150096;862000096;parent96@parent.lt;"Ilgiausia g. 96, Vilnius"
Jolanta;Berkaitė;61910150907;2019-10-15;Algimantė;Berkaitė;49810150907;user97@user.lt;+37060000097;"Ilgiausia g. 97, Vilnius";Berkas;Gedeiminas;38903150097;862000097;parent97@parent.lt;"Ilgiausia g. 97, Vilnius"
Samuela;Ciganaitytė;61910150918;2019-10-15;Domnikija;Ciganaitytė;49810150918;user98@user.lt;+37060000098;"Ilgiausia g. 98, Vilnius";Ciganas;Geitvydas;38903150098;862000098;parent98@parent.lt;"Ilgiausia g. 98, Vilnius"
Milgintė;Čeilydkytė;61910150973;2019-10-15;Vingėla;Čeilydkytė;49810150973;user99@user.lt;+37060000099;"Ilgiausia g. 99, Vilnius";Čeilydka;Mečius;38903150099;862000099;parent99@parent.lt;"Ilgiausia g. 99, Vilnius"
Alfonsas;Atroška;51911151066;2019-11-15;Pijus;Atroška;38811151066;user100@user.lt;+37060000100;"Ilgiausia g. 100, Vilnius";Atroška;Eivis;38903150100;862000100;parent100@parent.lt;"Ilgiausia g. 100, Vilnius"
Vytalijus;Jankaitis;51911151048;2019-11-15;Eigimantas;Jankaitis;38811151048;user101@user.lt;+37060000101;"Ilgiausia g. 101, Vilnius";Jankaitė;Zene;49104120101;862000101;parent101@parent.lt;"Ilgiausia g. 101, Vilnius"
Galminas;Skaldinas;51911151037;2019-11-15;Laurent;Skaldinas;38811151037;user102@user.lt;+37060000102;"Ilgiausia g. 102, Vilnius";Skaldinienė;Laisvida;49104120102;862000102;parent102@parent.lt;"Ilgiausia g. 102, Vilnius"
Lauris;Makauskas;51911151026;2019-11-15;Einius;Makauskas;38811151026;user103@user.lt;+37060000103;"Ilgiausia g. 103, Vilnius";Makauskė;Janislava;49104120103;862000103;parent103@parent.lt;"Ilgiausia g. 103, Vilnius"
Radulfas;Strepeika;51911151004;2019-11-15;Genis;Strepeika;38811151004;user104@user.lt;+37060000104;"Ilgiausia g. 104, Vilnius";Strepeika;Verdženija;49104120104;862000104;parent104@parent.lt;"Ilgiausia g. 104, Vilnius"
Trifonas;Jaselionis;51911151015;2019-11-15;Vygis;Jaselionis;38811151015;user105@user.lt;+37060000105;"Ilgiausia g. 105, Vilnius";Jaselionė;Bytautė;49104120105;862000105;parent105@parent.lt;"Ilgiausia g. 105, Vilnius"
Gedeiminas;Voičešonokas;51911151081;2019-11-15;Rimbertas;Voičešonokas;38811151081;user106@user.lt;+37060000106;"Ilgiausia g. 106, Vilnius";Voičešonoka;Tolminė;49104120106;862000106;parent106@parent.lt;"Ilgiausia g. 106, Vilnius"
Geitvydas;Nikolskis;51911151059;2019-11-15;Augminas;Nikolskis;38811151059;user107@user.lt;+37060000107;"Ilgiausia g. 107, Vilnius";Nikolskė;Uljanija;49104120107;862000107;parent107@parent.lt;"Ilgiausia g. 107, Vilnius"
